time, cycle, y, x, tag
146439414,219863,13,17,cd440000
146440080,219864,9,31,c97c0000
146440746,219865,10,19,ca4c0000
146441412,219866,11,23,cb5c0000
146442078,219867,10,29,ca740000
146442744,219868,12,17,cc440000
146443410,219869,10,21,ca540000
146444076,219870,11,21,cb540000
146444742,219871,10,25,ca640000
146445408,219872,13,16,cd400000
146446074,219873,10,27,ca6c0000
146446740,219874,11,26,cb680000
146447406,219875,10,22,ca580000
146448072,219876,12,23,cc5c0000
146448738,219877,10,30,ca780000
146449404,219878,11,22,cb580000
146450070,219879,10,28,ca700000
146450736,219880,14,17,ce440000
146451402,219881,10,31,ca7c0000
146452068,219882,11,29,cb740000
146452734,219883,12,21,cc540000
146453400,219884,11,24,cb600000
146454066,219885,13,23,cd5c0000
146454732,219886,11,19,cb4c0000
146455398,219887,12,20,cc500000
146456064,219888,11,27,cb6c0000
146456730,219889,14,16,ce400000
146457396,219890,11,25,cb640000
146458062,219891,12,19,cc4c0000
146458728,219892,11,30,cb780000
146459394,219893,13,18,cd480000
146460060,219894,11,28,cb700000
146460726,219895,12,26,cc680000
146461392,219896,11,31,cb7c0000
146462058,219897,15,16,cf400000
146462724,219898,12,24,cc600000
146463390,219899,13,20,cd500000
146464056,219900,12,29,cc740000
146464722,219901,14,20,ce500000
146465388,219902,12,22,cc580000
146466054,219903,13,24,cd600000
146466720,219904,12,27,cc6c0000
146467386,219905,15,18,cf480000
146468052,219906,12,25,cc640000
146468718,219907,13,26,cd680000
146469384,219908,12,30,cc780000
146470050,219909,14,18,ce480000
146470716,219910,12,28,cc700000
146471382,219911,13,19,cd4c0000
146472048,219912,12,31,cc7c0000
146472714,219913,15,17,cf440000
146473380,219914,13,29,cd740000
146474046,219915,14,23,ce5c0000
146474712,219916,13,21,cd540000
146475378,219917,15,20,cf500000
146476044,219918,13,22,cd580000
146476710,219919,14,21,ce540000
146477376,219920,13,27,cd6c0000
146478042,219921,15,21,cf540000
146478708,219922,13,25,cd640000
146479374,219923,14,26,ce680000
146480040,219924,13,30,cd780000
146480706,219925,15,23,cf5c0000
146481372,219926,13,28,cd700000
146482038,219927,14,19,ce4c0000
146482704,219928,13,31,cd7c0000
146483370,219929,15,19,cf4c0000
146484036,219930,14,29,ce740000
146484702,219931,15,26,cf680000
146485368,219932,14,24,ce600000
146486034,219933,15,24,cf600000
146486700,219934,14,22,ce580000
146487366,219935,15,29,cf740000
146488032,219936,14,27,ce6c0000
146488698,219937,15,22,cf580000
146489364,219938,14,25,ce640000
146490030,219939,15,27,cf6c0000
146490696,219940,14,30,ce780000
146491362,219941,15,25,cf640000
146492028,219942,14,28,ce700000
146492694,219943,15,30,cf780000
146493360,219944,14,31,ce7c0000
146494026,219945,15,28,cf700000
146494692,219946,15,31,cf7c0000
